,Title,Author,ISBN Valid,Publisher,Subjects,i,description,categories,average_rating,ratings_count,page_count,language
13,Pour une pédagogie du projet /,"Bordalo, Isabelle",9782011709219; 2011709210,Hachette éducation,Enseignement--Méthode des projets,13,"La demande de projet est incontournable, dans le domaine scolaire tout autant que dans l'ordre du social, parce qu'elle permet aux individus de s'impliquer activement dans les tâches qu'ils ont à effectuer. C'est pourquoi Isabelle Bordalo et Jean-Paul Ginestet sont allés puiser dans l'enseignement technologique où cette méthode a été mise en oeuvre systématiquement. Ils démontrent que cette forme particulière de pédagogie a contribué à faire entrer à l'école un peu du monde de l'entreprise et que le transfert des méthodes et des outils utilisés en technologie est possible dans les autres champs disciplinaires.",Enseignement,,,190.0,fr
14,Une classe qui coopère : pourquoi ? comment ? /,"Staquet, Christian",9782850084324; 2850084328,Chronique sociale,apprentissage (psychologie)--classe (enseignement)--coopération--élève,14,"Comment organiser les apprentissages pour que les élèves apprennent et s'apprennent les uns des autres en coopérant dans le travail ? La pédagogie coopérative implique les partenaires autour d'un objectif de travail ou d'apprentissage pour des échanges et des intelligences collectives. Elle donne aux élèves des outils de progression, de responsabilisation et de compréhension de leurs apprentissages en équipe. Apprendre à travailler avec les autres, c'est apprendre sur soi et grandir avec les autres. Il y a, dans cette approche active, interactive et basée sur le respect de chaque personne, une vraie manière de (re) motiver le travail scolaire en le reliant à la vie sociale du groupe, aux richesses de chacun, aux interactions entre pairs et, indirectement, aux interactions extra scolaires de l'élève. Apprendre à travailler avec les autres, dans des tâches qui ne sont pas spécialement nos points forts, mais avec le soutien des coéquipiers, est une étape très importante vers l'approche polyvalente de la vie et de la réussite des objectifs. Une décolonisation des habitudes de dépendances réciproques avec les élèves est nécessaire. Il est du ressort de l'adulte de ne plus proposer ou induire un modèle unique pour des stratégies de travail ou des pratiques d'apprentissages. Le défi de l'école est d'apprendre à apprendre, d'apprendre à se construire et d'apprendre à vivre ensemble. La coopération participe à des relations pacifiques, responsables et enrichissantes, des plus évoluées et des plus démocratiques.",Apprentissage - Travail en équipe,,,203.0,fr
15,Penser le projet : concepts et outils d'une pédagogie émancipatrice /,"Tilman, Francis",2850085510; 9782850085512,Chronique sociale,pédagogie de la maîtrise,15,"La pédagogie du projet est omniprésente dans la littérature pédagogique. Elle est recommandée par les décideurs tant pour les pratiques scolaires que pour la formation d'adultes. Elle est parée d'immenses vertus éducatives. Mais est-elle vraiment cette pédagogie si novatrice et si performante ? Si nous concevons l'éducation comme une œuvre d'émancipation, à quelles conditions et dans quelles circonstances la pédagogie du projet peut-elle être un instrument au service de cet idéal ? À partir de l'expérience de l'équipe du Grain, voici un véritable guide de la pédagogie du projet émancipateur. Après un détour nécessaire pour clarifier la multiplicité de sens du mot projet, l'auteur nous présente trois formes de projet : le projet personnel, le projet de groupe et le projet d'organisation. Pour chacune, il précise ses caractéristiques et les conditions d'une pratique progressiste de la démarche. Les clarifications théoriques sont émaillées de nombreux exemples et accompagnées de la présentation d'outils pour une pratique efficace de chaque type de projet. Enfin, l'ouvrage interroge le succès que connaît aujourd'hui l'idéologie du projet et les risques d'illusion qu'elle véhicule. Un guide clair, accessible, approfondi et pragmatique.",Enseignement - Méthode des projets,,,203.0,fr
16,Pays-Bas /,"Williams, Nicola",9782816195590; 2816195597,Lonely planet,Pays-Bas; Guides touristiques et de visite,16,"Lonely Planet : un guide de référence, à la fois pratique et culturel, pour découvrir les Pays-Bas. Un guide tout en couleurs pour apprécier la beauté d'un pays hors norme. Un aperçu des sites incontournables et des meilleures expériences sur place : les canaux d'Amsterdam, les chefs-d'œuvre néerlandais, le parc national de la Haute-Veluwe, Delft, Maastricht, Rotterdam, Texel, les fromages... Des suggestions d'itinéraires et une sélection thématique pour organiser un voyage en phase avec ses envies : architecture, marchés, cyclotourisme, moulins à vent... Un chapitre consacré aux voyages en famille. Un chapitre spécifique pour découvrir les Pays-Bas à vélo (renseignements, principales routes, des itinéraires décrits dans le détail, organisation, équipement, sécurité, hébergement...). De nombreuses cartes ainsi qu'une couverture approfondie des moyens de transport pour être autonome dans ses déplacements. Des focus sur l'histoire et la société néerlandaise, arts et architecture, environnement, cuisine locale...",,,,382.0,fr
17,Amsterdam : balades urbaines /,"Vanderhaeghe, Katherine",9782016256336; 2016256338,Hachette,Amsterdam (Pays-Bas); Guides touristiques et de visite,17,,,,,208.0,fr
18,"Amsterdam : + Rotterdam, Delft et La Haye : 2024-2025 /",,9782017884026; 2017884022,Hachette Livre,"Amsterdam (Pays-Bas); Amsterdam (Pays-Bas, région); Rotterdam (Pays-Bas); Delft (Pays-Bas); La Haye (Pays-Bas); [Guides touristiques et de visite]",18,,,,,0.0,fr
19,Pays-Bas,,9782067257863; 2067257862,Michelin,Pays-Bas; Guides touristiques et de visite,19,,,,,0.0,fr
20,Amsterdam /,"Catling, Christopher",9782822902526; 2822902526,National geographic,Amsterdam (Pays-Bas); [Guides touristiques et de visite],20,,,,,271.0,fr
21,Histoire des Etats-Unis /,"Durpaire, François",9782715413801; 2715413807,Presses Universitaires de France,États-Unis--Histoire,21,"Faire l'histoire des États-Unis, le projet permet de lever un premier préjugé, celui d'un pays si "" jeune "" qu'il n'aurait pas d'histoire. Du jour de l'indépendance à la guerre de Sécession, de la conquête de l'Ouest à celle de la Lune, de la crise de 1929 aux attentats du 11 septembre 2001, cet ouvrage raconte le roman vrai de l'Amérique. Au-delà d'un simple récit chronologique, François Durpaire montre combien les États-Unis résistent à toute compréhension simpliste. Il nous invite à lire l'histoire de ce pays comme celle d'un dialogue ininterrompu entre l'unité et la diversité, qui sont les deux valeurs inscrites dans la devise originelle des États-Unis d'Amérique : e pluribus unum - "" de plusieurs, un "".",,,,0.0,fr
22,"C'est psy ? Non, hormonal ! : comprendre ses hormones pour se sentir mieux /","Gluck, Marion",9782035993250; 2035993253,Larousse,Santé mentale; Hormones femelles; Femmes--Santé et hygiène,22,,,,,288.0,fr
23,C'est mon corps : toutes les questions que se posent les femmes sur leur santé /,"Winckler, Martin",9782378801267; 2378801262,L'Iconoclaste,Women's Health; Sexuality; Reproductive Physiological Phenomena; Contraception; Professional-Patient Relations; Sexualité féminine; Vie sexuelle--Femmes; Féminité; Femmes--Santé et hygiène; Gynécologie; Guides pratiques,23,,,,,504.0,fr
24,Le sentiment de justice dans les relations sociales /,"Kellerhals, Jean, 1941-",2130486851; 9782130486855,Presses universitaires de France,justice--relations sociales; justice distributive--relations sociales; justice sociale; équité--groupe--justice--norme sociale,24,"Etude sur les formes que prend le sentiment de justice dans les relations sociales. Se veut une introduction à une approche empirique du sentiment de justice distributive dans les groupes. On vise à cerner d'abord la diversité des normes de justice, à comprendre la relation entre la position sociale des personnes et leurs critères de justice, à montrer à quel point les normes de justice sont solidaires de la cohésion du groupe et, enfin, à définir les procédures jugées légitimes par les membres du groupe. Fait écho à un livre publié en 1988 ##Figures de l'équité## (PUF). [SDM].",Distributive justice,,,127.0,fr
25,S'capade pédagogique avec les jeux d'évasion : apprendre grâce aux escape games : de la maternelle à la formation d'adultes /,"Fenaert, Mélanie",9782340035461; 2340035465,Ellipses,Gamification; Apprentissage par le jeu; Jeux éducatifs; Jeux d'évasion; [Guides pratiques],25,,,,,238.0,fr
26,"Pays basque : France, Espagne et Navarre",,9782067253407; 2067253409,Michelin,Pays basque (Espagne); Navarre française (France); Navarre (Espagne); Pays basque (France); Guides touristiques et de visite,26,,,,,498.0,fr
27,Le rapport de Brodeck /,"Larcenet, Manu",9782205073850; 2205073850; 9782205075403; 2205075403,,Bandes dessinées,27,,,,,158.0,fr
28,Hanbok /,"Darcq, Sophie, 1976-.....",2367310254; 9782367310251,L'Apocalypse,Bandes dessinées; Adoption internationale--Bandes dessinées.; Récits de voyages français--Corée--2000-....; Bandes dessinées autobiographiques--France--2000-....; Bandes dessinées autobiographiques.,28,"Sophie Darcq est à la fois une inconnue, puisque Hanbok est son premier livre, et quelqu'un qu'on ne présente plus dans le milieu de l'édition alternative ou dans la petite communauté d'autrices et d'auteurs d'Angoulême, où son talent est reconnu depuis longtemps. Née Coréenne en 1976, française d'adoption, Sophie Darcq est diplômée de l'EESI et a été résidente à la Maison des Auteurs d'Angoulême, avant de décider de partir en Corée sur les traces de sa famille biologique, avec l'une de ses quatre sœurs. C'est cette histoire que raconte Hanbok, récit familial poignant, entre l'exorcisme et la nécessité de connaître ses racines. Commencé il y a une quinzaine d'années, ce premier tome de Hanbok (sur deux prévus) se démarque du flux de bandes dessinées autobiographiques actuel par le profond besoin de vérité qu'on y trouve et par le brio du dessin. Passant avec désinvolture d'un style réaliste époustouflant à une grammaire minimaliste, d'un registre épistolaire à une narration historique, Sophie Darcq maîtrise son sujet et le langage de la bande dessinée comme peu d'autrices publiant leur premier livre.",Adopted children,,,0.0,fr
29,Philosophia : une histoire de la philosophie en BD /,"Tenaillon, Nicolas",9782340027787; 2340027780,Ellipses,Philosophes; Philosophie; Philosophie--Histoire; Bandes dessinées,29,"Philosophia, c'est une histoire de la philosophie en bande dessinée. Des premiers philosophes grecs jusqu'à ceux d'aujourd'hui, ce roman graphique de la pensée se veut une introduction ludique et esthétique aux grandes idées qui ont rendu célèbres des auteurs aussi incontournables que Platon, Descartes, Kant et bien d'autres...",,,,256.0,fr
30,Chaussettes : 20 modèles à tricoter toute l'année /,"Laitinen, Niina 19..-....",9782383381372; 2383381373,La Plage,Bas et chaussettes; Tricot--Modèles; Manuels d'amateurs,30,,,,,0.0,fr
31,Tricoter ses chaussettes : les techniques pour débuter : [+ de 20 modèles pour se lancer] /,"Johnson, Wendy",9782212675504; 221267550X,Eyrolles,Bas et chaussettes--Tricot--Modèles; Guides pratiques,31,"Cet ouvrage propose plusieurs méthodes pour tricoter ses chaussettes en commençant par la pointe du pied - technique qui présente l'avantage de pouvoir essayer les chaussettes au fur et à mesure que l'on progresse et de les adapter parfaitement à sa taille. L'auteur montre également plusieurs façons de tricoter le talon et d'arrêter les mailles. A chacun de choisir ensuite ce qui lui convient. 23 modèles de chaussettes de difficulté croissante permettent de mettre en pratique ces techniques en les combinant avec des points de tricot plus ou moins complexes : points dentelle, texturés, torsades... Une mine d'information et d'inspiration, illustré de photographies lumineuses et colorées.",,,,143.0,fr
32,Le métier de sociologue : préalables épistémologiques /,"Bourdieu, Pierre",9782713228209; 2713228204,Éditions EHESS,Sociologues; Sociologie--Méthodologie; Sociologie--Pratique; Épistémologie de la sociologie; Sociology--Methodology; Sociologie--Méthodologie.,32,,,,,576.0,fr
33,Le dahlia noir /,Matz,9782203045682; 220304568X,Payot & Rivages; Casterman,Bandes dessinées,33,"Los Angeles Police Department, 1946. Dwight ""Bucky"" Bleichert fête son premier jour aux Mandats, le prestigieux service où rêvent de travailler la plupart des flics de la Cité des Anges. Il fera équipe avec Leland ""Lee"" Blanchard, un collègue qui comme lui a été boxeur, et qu’il a déjà affronté sur un ring. Malgré les nondits entre eux, les deux hommes sympathisent. Ils ne savent pas encore qu’ils vont enquêter ensemble sur un crime qui va à la fois les rapprocher et bouleverser leurs existences : la mort atroce d’une jeune femme, Elizabeth ""Betty"" Short, surnommée le Dahlia Noir, dont on retrouve le corps mutilé dans un terrain vague, en janvier 1947... Ainsi débute l’un des plus fameux romans noirs de la littérature américaine des dernières décennies, à la fois polar haletant et portrait saisissant de Los Angeles, dans toute sa fascination trouble : Le Dahlia noir, de James Elroy. C’est le plus francophile des dessinateurs américains, Miles Hyman, déjà auteur avec Matz, dans la même collection, d’une adaptation de Nuit de fureur de Jim Thompson, qui en signe la mise en images, très inspiré par la ville de Los Angeles où il a personnellement vécu plusieurs années. L’adaptation du roman d’Ellroy en bande dessinée est assurée une fois encore par Matz, mais cette fois-ci à quatre mains puisqu’il a travaillé en équipe avec le cinéaste David Fincher.",,,,170.0,fr
34,Le bleu est une couleur chaude /,"Maroh, Julie",9782723467834; 272346783X,Glénat,Homosexualité; Lesbianisme; Bandes dessinées,34,"La vie de Clémentine bascule le jour où elle rencontre Emma, une jeune fille aux cheveux bleus qui lui fait découvrir toutes les facettes du désir et lui permet d'affronter enfin le regard des autres. Adapté au cinéma par Abdellatif Kechiche sour le titre La vie d'Adèle, Palme d'or au Festival de Cannes 2013.",Dating (Social customs),,,156.0,fr
35,"Dictionnaire de la pensée politique : idées, doctrines et philosophes /","Nay, Olivier 1968-....",9782247060009; 2247060005,Armand Colin,Idées politiques; Philosophie politique; doctrine politique--[dictionnaire]; science politique--[dictionnaire]; philosophie politique--[dictionnaire]; Dictionnaires,35,"Le Dictionnaire de la pensée politique présente, sous une forme simple et accessible, les principaux courants d'idées, les grands débats philosophiques et les auteurs majeurs de la pensée politique occidentale. Il couvre toutes les périodes de l'histoire depuis l'Antiquité et aborde une très grande diversité de thèmes : la philosophie des Anciens, les doctrines du Moyen Age, l'humanisme de la Renaissance, les grands projets des lumières, mais aussi les réflexions sur le pouvoir, la justice, l'État, la nation, la démocratie, le socialisme, le libéralisme, le totalitarisme ou le communautarisme. Guidé par un souci de rigueur, de concision et de clarté, il présente les idées politiques dans leur rapport avec les évolutions sociales, politiques et culturelles de l'Europe et du monde. Certaines notices sont consacrées à un auteur et à son œuvre. D'autres traitent un concept ou une idée philosophique centrale ayant nourri la réflexion sur le pouvoir et la société. D'autres enfin, privilégiant un angle historique, analysent l'évolution d'une sensibilité doctrinale ou intellectuelle. Le dictionnaire s'adresse aux étudiants des cursus de philosophie, de droit, d'histoire et de science politique. Il sera particulièrement utile aux étudiants de Sciences-Po et aux élèves des classes préparatoires. Il offre à chacun les moyens d'approfondir ses connaissances sur les grands débats qui ont influencé le cours de l'histoire.",Political science,,,228.0,fr
36,Roger et ses humains /,Paka (1985-....),9782800164199; 2800164190; 9782800167299; 2800167297; 9791034743629,Dupuis,Robots; Ouvrages pour la jeunesse; Bandes dessinées,36,"- Une histoire complète divisée en strips de trois cases qui peuvent se lire indépendamment - La première incursion dans la BD de Cyprien Iov, premier youtuber français et phénomène web (6,7 millions d'abonnés sur sa chaine YouTube) - L'un des premiers ouvrages de « Disquette », la nouvelle collection de la nouvelle génération !",,5.0,1.0,86.0,fr
37,"Simenon, l'Ostrogoth /","Bocquet, José-Louis",9782505120094; 2505120099; 9782505120100; 2505120102; 9782505120117; 2505120110,Dargaud,"Bandes dessinées; Simenon, Georges",37,,,,,0.0,fr
38,Géostratégix /,"Boniface, Pascal",9782100830824; 2100830821; 9782100851140; 2100851144,Dunod,Géopolitique.; Relations internationales.; Bandes dessinées,38,"À l'heure de la globalisation, peut-on comprendre le monde contemporain sans connaître la chaîne des événements qui l'ont façonné, la logique des rivalités, les affrontements des puissances ? L'essor du monde bipolaire puis sa disparition, la décolonisation, l'enjeu de l'arme nucléaire, la globalisation de l'économie, l'émergence de nouvelles puissances... aucun de ces aspects n'est isolé, ils interviennent au cours d'une grande histoire interconnectée et jouée par des acteurs hors normes, de Roosevelt à Trump en passant par de Gaulle, Mao, Castro, Mandela et Poutine. Le géopolitologue Pascal Boniface, connu pour sa clarté pédagogique, décrypte les principaux rouages des grands événements historiques depuis 1945 et leurs conséquences actuelles. Un récit passionnant, judicieusement mis en images par le dessinateur Tommy, qui adjoint à une vaste galerie de portraits des cartes explicatives et un trait d'humour bienvenu. On apprend et on comprend en souriant.",,,,0.0,fr
39,Partir : sur les chemins de Compostelle /,"Sohn, Lili",9782203221918; 2203221917,Casterman,Chemins de Saint-Jacques,39,"2 mois pour rejoindre Saint-Jacques de Compostelle depuis Cajarc et le Mas de Jantille.02 mois et 1250 km, seule et le strict nécessaire dans un sac à dos.02 mois pour se réapproprier l'espace et le mouvement entre deux confinements.02 mois de marche, de réflexion et d'initiation.02 mois pour questionner son rapport au corps, aux autres, à la nature.",,,,0.0,fr
40,Peau d'homme /,"Hubert, 1971-",9782344010648; 2344010645,Glénat,Mariages royaux et nobles--Renaissance; Différences entre sexes; Bandes dessinées,40,"Dans l'Italie de la Renaissance, Bianca, une demoiselle de bonne famille en âge de se marier, est présentée à son futur époux Giovanni, un riche marchand, jeune et plaisant. Alors que les noces approchent, l'attribut secret transmis par les femmes de sa famille depuis des générations, la peau d'un homme à la beauté stupéfiante, qu'elle peut revêtir quand il lui plaît, est révélé et légué à Bianca. --",Feminism,,,159.0,fr
41,Morgane /,"Fert, Stéphane",9782756070056; 275607005X,Delcourt,[Bandes dessinées],41,"Privée de son destin de reine, la demi-soeur du roi Arthur devient la sulfureuse fée Morgane et se dresse contre la tyrannie de la Table ronde et les manipulations de Merlin le fou. Ecoeurée par le magicien qui joue avec sa vie depuis sa plus tendre enfance, Morgane laisse libre cours à sa colère et assouvit sa soif de pouvoir envers et contre tous : son ancien maître, les hommes, leur nouveau dieu unique et l’ordre établi.",,,,144.0,fr
42,Le monde de Sophie /,"Zabus, Vincent 1971-....",9782226475978; 2226475974; 9782226464378; 2226464379,Albin Michel,Philosophie; Bandes dessinées,42,,,,,0.0,fr
43,Suisse,,9782067261730; 2067261738,Michelin,Suisse; Guides touristiques et de visite,43,,,,,0.0,fr
44,Tokyo tarareba girls /,"Higashimura, Akiko 1975",9782353481903; 2353481906; 9782353481996; 235348199X; 9782353482009; 2353482007; 9782353482092; 2353482090; 9782353482191; 2353482198; 9782353482313; 2353482317; 9782353482467; 2353482465; 9782353482542; 2353482546; 9782353482573; 2353482570,Le Lézard Noir,Bandes dessinées; Mangas,44,,,,,176.0,fr
45,Yotsuba & ! /,"Azuma, Kiyohiko",9782351420713; 2351420713; 9782351420720; 2351420721; 9782351420737; 235142073X; 9782351420744; 2351420748; 9782351421536; 2351421531; 9782351422106; 2351422104; 9782351423448; 2351423445; 9782351423950; 235142395X; 9782351425374; 2351425375; 978235142660,Kurokawa,Mangas--Japon; Bandes dessinées; Ouvrages pour la jeunesse; Mangas,45,"La vie quotidienne de la petite Yotsuba, âgée de 6 ans, qui doit s'adapter à sa récente installation en ville. Son inexpérience donne lieu à de nombreux gags.",,,,224.0,fr
46,Le monde sans fin /,"Jancovici, Jean-Marc",9782205088168; 2205088165,Dargaud,Climate Change; Environmental Health; Environment and Public Health; Energy-Generating Resources; Graphic Novel; Changements climatiques; Changement global de l'environnement; Ressources énergétiques; Vulgarisation scientifique; Transition énergétique; Réchauffement de la Terre; Bandes dessinées,46,"La rencontre entre un auteur majeur de la bande dessinée et un éminent spécialiste des questions énergétiques et de l'impact sur le climat a abouti à ce projet, comme une évidence, une nécessité de témoigner sur des sujets qui nous concernent tous. Intelligent, limpide, non dénué d'humour, cet ouvrage explique sous forme de chapitres les changements profonds que notre planète vit actuellement et quelles conséquences, déjà observées, ces changements parfois radicaux signifient. Jean-Marc Jancovici étaye sa vision remarquablement argumentée en plaçant la question de l'énergie et du changement climatique au coeur de sa réflexion tout en évoquant les enjeux économiques (la course à la croissance à tout prix est-elle un leurre ?), écologiques et sociétaux. Ce témoignage éclairé s'avère précieux, passionnant et invite à la réflexion sur des sujets parfois clivants, notamment celui de la transition énergétique.",Climate change mitigation,,,192.0,fr
47,La Fille à la moto /,"Suzuki, Ôji",9782889231164; 288923116X,Atrabile Editions,,47,,,,,,fr
48,Seuls en exil /,"Menor, Fabian",9782940673773; 2940673772,Helvetiq,Immigrés--Suisse; Bandes dessinées,48,"Trois jeunes migrants isolés venus d'Afghanistan, d'Iran et d'Erythrée arrivent à Genève. Mal accueillis et livrés à eux-mêmes dans un foyer, sans accompagnement, ils tentent de surmonter le traumatisme de leur exil tout en se faisant une place dans cette ville inconnue. Trois récits de trois auteurs différents, inspirés par leur rencontre avec trois adolescents migrants.[Electre]",,,,0.0,fr
