,Title,Author,ISBN Valid,Publisher,Subjects,i,titles_cleaned,subjects_cleaned,authors_cleaned,concepts
24,Le sentiment de justice dans les relations sociales /,"Kellerhals, Jean, 1941-",2130486851; 9782130486855,Presses universitaires de France,justice--relations sociales; justice distributive--relations sociales; justice sociale; équité--groupe--justice--norme sociale,24,Le sentiment de justice dans les relations sociales,justice--relations sociales justice distributive--relations sociale équité--groupe--justice--norme,kellerhals jean -,Le sentiment de justice dans les relations sociales kellerhals jean - justice--relations sociales justice distributive--relations sociale équité--groupe--justice--norme
25,S'capade pédagogique avec les jeux d'évasion : apprendre grâce aux escape games : de la maternelle à la formation d'adultes /,"Fenaert, Mélanie",9782340035461; 2340035465,Ellipses,Gamification; Apprentissage par le jeu; Jeux éducatifs; Jeux d'évasion; [Guides pratiques],25,S'capade pédagogique avec les jeux d'évasion : apprendre grâce aux escape games : de la maternelle à la formation d'adultes,gamification apprentissage jeu jeux éducatifs dévasion guides pratiques,fenaert mélanie,S'capade pédagogique avec les jeux d'évasion : apprendre grâce aux escape games : de la maternelle à la formation d'adultes fenaert mélanie gamification apprentissage jeu jeux éducatifs dévasion guides pratiques
26,"Pays basque : France, Espagne et Navarre",,9782067253407; 2067253409,Michelin,Pays basque (Espagne); Navarre française (France); Navarre (Espagne); Pays basque (France); Guides touristiques et de visite,26,"Pays basque : France, Espagne et Navar",pays basque espagne navarre française france guides touristiques visite,,"Pays basque : France, Espagne et Navar  pays basque espagne navarre française france guides touristiques visite"
27,Le rapport de Brodeck /,"Larcenet, Manu",9782205073850; 2205073850; 9782205075403; 2205075403,,Bandes dessinées,27,Le rapport de Brodeck,bandes dessinées,larcenet manu,Le rapport de Brodeck larcenet manu bandes dessinées
28,Hanbok /,"Darcq, Sophie, 1976-.....",2367310254; 9782367310251,L'Apocalypse,Bandes dessinées; Adoption internationale--Bandes dessinées.; Récits de voyages français--Corée--2000-....; Bandes dessinées autobiographiques--France--2000-....; Bandes dessinées autobiographiques.,28,Hanbok,bandes dessinées adoption internationale--bandes dessinées récits voyages français--corée--- autobiographiques--france--- autobiographiques,darcq sophie -,Hanbok darcq sophie - bandes dessinées adoption internationale--bandes dessinées récits voyages français--corée--- autobiographiques--france--- autobiographiques
29,Philosophia : une histoire de la philosophie en BD /,"Tenaillon, Nicolas",9782340027787; 2340027780,Ellipses,Philosophes; Philosophie; Philosophie--Histoire; Bandes dessinées,29,Philosophia : une histoire de la philosophie en BD,philosophes philosophie philosophie--histoire bandes dessinées,tenaillon nicolas,Philosophia : une histoire de la philosophie en BD tenaillon nicolas philosophes philosophie philosophie--histoire bandes dessinées
30,Chaussettes : 20 modèles à tricoter toute l'année /,"Laitinen, Niina 19..-....",9782383381372; 2383381373,La Plage,Bas et chaussettes; Tricot--Modèles; Manuels d'amateurs,30,Chaussettes : 20 modèles à tricoter toute l'année,chaussettes tricot--modèles manuels damateurs,laitinen niina -,Chaussettes : 20 modèles à tricoter toute l'année laitinen niina - chaussettes tricot--modèles manuels damateurs
31,Tricoter ses chaussettes : les techniques pour débuter : [+ de 20 modèles pour se lancer] /,"Johnson, Wendy",9782212675504; 221267550X,Eyrolles,Bas et chaussettes--Tricot--Modèles; Guides pratiques,31,Tricoter ses chaussettes : les techniques pour débuter : [+ de 20 modèles pour se lancer],chaussettes--tricot--modèles guides pratiques,johnson wendy,Tricoter ses chaussettes : les techniques pour débuter : [+ de 20 modèles pour se lancer] johnson wendy chaussettes--tricot--modèles guides pratiques
32,Le métier de sociologue : préalables épistémologiques /,"Bourdieu, Pierre",9782713228209; 2713228204,Éditions EHESS,Sociologues; Sociologie--Méthodologie; Sociologie--Pratique; Épistémologie de la sociologie; Sociology--Methodology; Sociologie--Méthodologie.,32,Le métier de sociologue : préalables épistémologiques,sociologues sociologie--méthodologie sociologie--pratique épistémologie sociologie sociology--methodology sociologie--méthodologie,bourdieu pierre,Le métier de sociologue : préalables épistémologiques bourdieu pierre sociologues sociologie--méthodologie sociologie--pratique épistémologie sociologie sociology--methodology sociologie--méthodologie
33,Le dahlia noir /,Matz,9782203045682; 220304568X,Payot & Rivages; Casterman,Bandes dessinées,33,Le dahlia noir,bandes dessinées,matz,Le dahlia noir matz bandes dessinées
34,Le bleu est une couleur chaude /,"Maroh, Julie",9782723467834; 272346783X,Glénat,Homosexualité; Lesbianisme; Bandes dessinées,34,Le bleu est une couleur chaude,homosexualité lesbianisme bandes dessinées,maroh julie,Le bleu est une couleur chaude maroh julie homosexualité lesbianisme bandes dessinées
35,"Dictionnaire de la pensée politique : idées, doctrines et philosophes /","Nay, Olivier 1968-....",9782247060009; 2247060005,Armand Colin,Idées politiques; Philosophie politique; doctrine politique--[dictionnaire]; science politique--[dictionnaire]; philosophie politique--[dictionnaire]; Dictionnaires,35,"Dictionnaire de la pensée politique : idées, doctrines et philosophes",idées politiques philosophie politique doctrine politique--dictionnaire science dictionnaires,nay olivier -,"Dictionnaire de la pensée politique : idées, doctrines et philosophes nay olivier - idées politiques philosophie politique doctrine politique--dictionnaire science dictionnaires"
36,Roger et ses humains /,Paka (1985-....),9782800164199; 2800164190; 9782800167299; 2800167297; 9791034743629,Dupuis,Robots; Ouvrages pour la jeunesse; Bandes dessinées,36,Roger et ses humains,robots ouvrages jeunesse bandes dessinées,paka -,Roger et ses humains paka - robots ouvrages jeunesse bandes dessinées
37,"Simenon, l'Ostrogoth /","Bocquet, José-Louis",9782505120094; 2505120099; 9782505120100; 2505120102; 9782505120117; 2505120110,Dargaud,"Bandes dessinées; Simenon, Georges",37,"Simenon, l'Ostrogoth",bandes dessinées simenon georges,bocquet josé-louis,"Simenon, l'Ostrogoth bocquet josé-louis bandes dessinées simenon georges"
38,Géostratégix /,"Boniface, Pascal",9782100830824; 2100830821; 9782100851140; 2100851144,Dunod,Géopolitique.; Relations internationales.; Bandes dessinées,38,Géostratégix,géopolitique relations internationales bandes dessinées,boniface pascal,Géostratégix boniface pascal géopolitique relations internationales bandes dessinées
39,Partir : sur les chemins de Compostelle /,"Sohn, Lili",9782203221918; 2203221917,Casterman,Chemins de Saint-Jacques,39,Partir : sur les chemins de Compostelle,chemins saint-jacques,sohn lili,Partir : sur les chemins de Compostelle sohn lili chemins saint-jacques
40,Peau d'homme /,"Hubert, 1971-",9782344010648; 2344010645,Glénat,Mariages royaux et nobles--Renaissance; Différences entre sexes; Bandes dessinées,40,Peau d'homme,mariages royaux nobles--renaissance différences sexes bandes dessinées,hubert -,Peau d'homme hubert - mariages royaux nobles--renaissance différences sexes bandes dessinées
41,Morgane /,"Fert, Stéphane",9782756070056; 275607005X,Delcourt,[Bandes dessinées],41,Morgane,bandes dessinées,fert stéphane,Morgane fert stéphane bandes dessinées
42,Le monde de Sophie /,"Zabus, Vincent 1971-....",9782226475978; 2226475974; 9782226464378; 2226464379,Albin Michel,Philosophie; Bandes dessinées,42,Le monde de Sophie,philosophie bandes dessinées,zabus vincent -,Le monde de Sophie zabus vincent - philosophie bandes dessinées
43,Suisse,,9782067261730; 2067261738,Michelin,Suisse; Guides touristiques et de visite,43,Suis,suisse guides touristiques visite,,Suis  suisse guides touristiques visite
44,Tokyo tarareba girls /,"Higashimura, Akiko 1975",9782353481903; 2353481906; 9782353481996; 235348199X; 9782353482009; 2353482007; 9782353482092; 2353482090; 9782353482191; 2353482198; 9782353482313; 2353482317; 9782353482467; 2353482465; 9782353482542; 2353482546; 9782353482573; 2353482570,Le Lézard Noir,Bandes dessinées; Mangas,44,Tokyo tarareba girls,bandes dessinées mangas,higashimura akiko,Tokyo tarareba girls higashimura akiko bandes dessinées mangas
45,Yotsuba & ! /,"Azuma, Kiyohiko",9782351420713; 2351420713; 9782351420720; 2351420721; 9782351420737; 235142073X; 9782351420744; 2351420748; 9782351421536; 2351421531; 9782351422106; 2351422104; 9782351423448; 2351423445; 9782351423950; 235142395X; 9782351425374; 2351425375; 978235142660,Kurokawa,Mangas--Japon; Bandes dessinées; Ouvrages pour la jeunesse; Mangas,45,Yotsuba & !,mangas--japon bandes dessinées ouvrages jeunesse mangas,azuma kiyohiko,Yotsuba & ! azuma kiyohiko mangas--japon bandes dessinées ouvrages jeunesse mangas
46,Le monde sans fin /,"Jancovici, Jean-Marc",9782205088168; 2205088165,Dargaud,Climate Change; Environmental Health; Environment and Public Health; Energy-Generating Resources; Graphic Novel; Changements climatiques; Changement global de l'environnement; Ressources énergétiques; Vulgarisation scientifique; Transition énergétique; Réchauffement de la Terre; Bandes dessinées,46,Le monde sans fin,climate change environmental health environment and public energy-generating resources graphic novel changements climatiques changement global lenvironnement ressources énergétiques vulgarisation scientifique transition énergétique réchauffement terre bandes dessinées,jancovici jean-marc,Le monde sans fin jancovici jean-marc climate change environmental health environment and public energy-generating resources graphic novel changements climatiques changement global lenvironnement ressources énergétiques vulgarisation scientifique transition énergétique réchauffement terre bandes dessinées
47,La Fille à la moto /,"Suzuki, Ôji",9782889231164; 288923116X,Atrabile Editions,,47,La Fille à la moto,,suzuki ôji,La Fille à la moto suzuki ôji 
48,Seuls en exil /,"Menor, Fabian",9782940673773; 2940673772,Helvetiq,Immigrés--Suisse; Bandes dessinées,48,Seuls en exil,immigrés--suisse bandes dessinées,menor fabian,Seuls en exil menor fabian immigrés--suisse bandes dessinées
49,Coming in /,"Font, Elodie",9782228929097; 2228929093,Arte Editions; Editions Payot & Rivages,"Homosexuality--psychology; Homosexuality, Female--psychology; Self Concept; Graphic Novel; Homosexualité; Coming out; Acceptation de soi; Lesbianisme; Lesbiennes; Romans graphiques",49,Coming in,homosexuality--psychology homosexuality female--psychology self concept graphic novel homosexualité coming out acceptation lesbianisme lesbiennes romans graphiques,elodie,Coming in elodie homosexuality--psychology homosexuality female--psychology self concept graphic novel homosexualité coming out acceptation lesbianisme lesbiennes romans graphiques
50,Les héros de l'étoffe : la fabuleuse histoire du textile /,"Laliberté, Séverine, 1973-",9782368465196; 2368465197,Cité sciences et industrie; Steinkis,Vêtements--Histoire; Mode--Histoire; Textiles et tissus--Histoire; Bandes dessinées,50,Les héros de l'étoffe : la fabuleuse histoire du textile,vêtements--histoire mode--histoire textiles tissus--histoire bandes dessinées,laliberté séverine -,Les héros de l'étoffe : la fabuleuse histoire du textile laliberté séverine - vêtements--histoire mode--histoire textiles tissus--histoire bandes dessinées
51,Le bébé des Buttes-Chaumont /,"Tardi, Jacques",9782203013131; 2203013133,Casterman,Bandes dessinées,51,Le bébé des Buttes-Chaumont,bandes dessinées,tardi jacques,Le bébé des Buttes-Chaumont tardi jacques bandes dessinées
52,Ascension /,"Sakamoto, Shin'ichi, 1972-",9782756016641; 2756016640; 9782756020433; 2756020435; 9782756020440; 2756020443; 9782756020457; 2756020451; 9782756020464; 275602046X; 9782756020471; 2756020478; 9782756022499; 2756022497; 9782756024851; 2756024856; 9782756024868; 2756024864; 978275602487,Delcourt,Bandes dessinées; Mangas,52,Ascension,bandes dessinées mangas,sakamoto shinichi -,Ascension sakamoto shinichi - bandes dessinées mangas
53,Fullmetal alchemist /,"Arakawa, Hiromu, 1973-",9782351420171; 2351420179; 9782351420188; 2351420187; 9782351420195; 2351420195; 9782351420416; 2351420411; 2351420454; 9782351420454; 2351420462; 9782351420461; 2351420470; 9782351420478; 2351420489; 9782351420485; 2351420497; 9782351420492; 978235142147,Kurokawa,Shônen; Mangas; Bandes dessinées,53,Fullmetal alchemist,shônen mangas bandes dessinées,arakawa hiromu -,Fullmetal alchemist arakawa hiromu - shônen mangas bandes dessinées
54,Pil /,"Yamazaki, Mari",9782203066427; 2203066423,Casterman,Bandes dessinées; Mangas,54,Pil,bandes dessinées mangas,yamazaki mari,Pil yamazaki mari bandes dessinées mangas
55,Goán tau chez moi /,"Li-Chin, Li 1973-....",2369902965; 9782369902966,Çà et là,Bandes dessinées,55,Goán tau chez moi,bandes dessinées,li-chin li -,Goán tau chez moi li-chin li - bandes dessinées
56,Soixante printemps en hiver /,"Jongh, Aimée de, 1988-",9.79103E+12,Dupuis,Minorités sexuelles; Bandes dessinées,56,Soixante printemps en hiver,minorités sexuelles bandes dessinées,jongh aimée -,Soixante printemps en hiver jongh aimée - minorités sexuelles bandes dessinées
57,Python pour les SHS : introduction à la programmation pour le traitement de données /,"Schultz, Emilien, 1987-",9782753581067; 2753581061,Presses universitaires de Rennes,Sciences humaines--Recherche--Informatique; Sciences sociales--Informatique; Python (langage de programmation); Python (Computer program language),57,Python pour les SHS : introduction à la programmation pour le traitement de données,sciences humaines--recherche--informatique sociales--informatique python langage programmation computer program language,schultz emilien -,Python pour les SHS : introduction à la programmation pour le traitement de données schultz emilien - sciences humaines--recherche--informatique sociales--informatique python langage programmation computer program language
58,A silent voice /,"Oima, Yoshitoki, 1989-",9782355927713; 2355927715; 9782355927942; 2355927944; 9782355928222; 2355928223; 9782355928390; 2355928398; 9782355928659; 2355928657; 9782355929083; 2355929084; 9782355929328; 2355929327,Ki-oon,Surdité; Harcèlement en milieu scolaire; Mangas; Bandes dessinées,58,A silent voice,surdité harcèlement milieu scolaire mangas bandes dessinées,oima yoshitoki -,A silent voice oima yoshitoki - surdité harcèlement milieu scolaire mangas bandes dessinées
59,L'appel de Néron /,"Yamazaki, Mari",9782203132436; 2203132434,Castermann,Bandes dessinées,59,L'appel de Néron,bandes dessinées,yamazaki mari,L'appel de Néron yamazaki mari bandes dessinées
60,"Connaissez-vous vraiment Internet ? : protocoles, sécurité, censure, gouvernance... /",,9782416007279; 2416007270,Editions Eyrolles,Internet; Internet--Gestion; Internet--Droit; Systèmes informatiques--Mesures de sûreté,60,"Connaissez-vous vraiment Internet ? : protocoles, sécurité, censure, gouvernance...",internet internet--gestion internet--droit systèmes informatiques--mesures sûreté,,"Connaissez-vous vraiment Internet ? : protocoles, sécurité, censure, gouvernance...  internet internet--gestion internet--droit systèmes informatiques--mesures sûreté"
61,Hoodoo darlin' /,"Bischoff, Léonie",9782203047037; 2203047038,KSTR-Casterman,Bandes dessinées,61,Hoodoo darlin',bandes dessinées,bischoff léonie,Hoodoo darlin' bischoff léonie bandes dessinées
62,Les médias en Suisse /,"Haver, Gianni",9782606021603; 2606021606,Editions Loisirs et Pédagogie,Médias--Suisse; Médias et opinion publique; Société médiatique; Médias--Histoire,62,Les médias en Suisse,médias--suisse médias opinion publique société médiatique médias--histoire,haver gianni,Les médias en Suisse haver gianni médias--suisse médias opinion publique société médiatique médias--histoire
63,Bonjour Bonsoir /,Vamille,9782889084517; 2889084515,La Joie de lire,Bandes dessinées,63,Bonjour Bonsoir,bandes dessinées,vamille,Bonjour Bonsoir vamille bandes dessinées
64,Journal inquiet d'Istanbul /,"Karabulut, Ersin",9782205085761; 220508576X,Dargaud,Bandes dessinées,64,Journal inquiet d'Istanbul,bandes dessinées,karabulut ersin,Journal inquiet d'Istanbul karabulut ersin bandes dessinées
65,Le design des bibliothèques publiques  /,"Beudon, Nicolas",9.79109E+12,Editions Klog,Libraries; Architecture; Marchandisage; Bibliothèques publiques; Bibliothèques--Activités culturelles; Bibliothèques--Services aux publics; Bibliothèques (constructions)--Aménagement,65,Le design des bibliothèques publiques ,libraries architecture marchandisage bibliothèques publiques bibliothèques--activités culturelles bibliothèques--services publics constructions--aménagement,beudon nicolas,Le design des bibliothèques publiques  beudon nicolas libraries architecture marchandisage bibliothèques publiques bibliothèques--activités culturelles bibliothèques--services publics constructions--aménagement
66,Contrition /,"Portela, Carlos, 1967-.....",2207169456; 9782207169452,Denoël,Délinquants sexuels; Bandes dessinées policières; Bandes dessinées,66,Contrition,délinquants sexuels bandes dessinées policières,portela carlos -,Contrition portela carlos - délinquants sexuels bandes dessinées policières
67,Les contraceptés : enquête sur le dernier tabou /,"Daudin, Guillaume",9782368464304; 2368464301,Steinkis,"Contraceptive Devices, Male; Contraception; Contraception masculine; Bandes dessinées; Graphic Novel",67,Les contraceptés : enquête sur le dernier tabou,contraceptive devices male contraception masculine bandes dessinées graphic novel,daudin guillaume,Les contraceptés : enquête sur le dernier tabou daudin guillaume contraceptive devices male contraception masculine bandes dessinées graphic novel
68,Formose /,"Li-Chin, Li 1973-....",9782916207629; 2916207627,Cà et là,Bandes dessinées,68,Formose,bandes dessinées,li-chin li -,Formose li-chin li - bandes dessinées
69,Les mers du Sud /,"Migoya, Hernán",9782205207941; 2205207946,Dargaud,Bandes dessinées,69,Les mers du Sud,bandes dessinées,migoya hernán,Les mers du Sud migoya hernán bandes dessinées
70,Fudafudak : l'endroit qui scintille /,"Li-Chin, Li 1973-....",2369902361; 9782369902362,Cà et là,"Bandes dessinées; Amis (Taiwan people); Comic books, strips, etc.; Graphic novels; Taiwan aborigines--Social life and customs; Amis (Taiwan people)--Comic books, strips, etc.; Taiwan aborigines--Social life and customs--Comic books, strips, etc.; Comic books, strips, etc.--Taiwan.; Graphic novels--Taiwan.; Ami (Peuple de Taiwan)--Bandes dessinées.; Autochtones--Taiwan--Mœurs et coutumes--Bandes dessinées.; Romans graphiques--Taiwan.; Taiwan; Comics (Graphic works)",70,Fudafudak : l'endroit qui scintille,bandes dessinées amis taiwan people comic books strips etc graphic novels aborigines--social life and customs people--comic customs--comic etc--taiwan novels--taiwan ami peuple taiwan--bandes autochtones--taiwan--mœurs coutumes--bandes romans graphiques--taiwan comics works,li-chin li -,Fudafudak : l'endroit qui scintille li-chin li - bandes dessinées amis taiwan people comic books strips etc graphic novels aborigines--social life and customs people--comic customs--comic etc--taiwan novels--taiwan ami peuple taiwan--bandes autochtones--taiwan--mœurs coutumes--bandes romans graphiques--taiwan comics works
71,Les sentiments du Prince Charles /,"Strömquist, Liv 1978-....",9782878271980; 287827198X,Rackham,Relations hommes-femmes; Bandes dessinées,71,Les sentiments du Prince Charles,relations hommes-femmes bandes dessinées,strömquist liv -,Les sentiments du Prince Charles strömquist liv - relations hommes-femmes bandes dessinées
